col_idx,master_ccl_id,achilles_name,priority_name
1,135853,"ACH-000001","NIHOVCAR3"
2,371,"ACH-000002","HL60"
3,107,"ACH-000003","CACO2"
4,362,"ACH-000004","HEL"
5,363,"ACH-000005","HEL9217"
6,702,"ACH-000006","MONOMAC6"
7,632,"ACH-000007","LS513"
8,23,"ACH-000008","A101D"
9,102,"ACH-000009","C2BBE1"
10,155486,"ACH-000010","NCIH2077"
11,8,"ACH-000011","253J"
12,340,"ACH-000012","HCC827"
13,898,"ACH-000013","ONCODG1"
14,395,"ACH-000014","HS294T"
15,155425,"ACH-000015","NCIH1581"
16,1065,"ACH-000016","SLR21"
17,1033,"ACH-000017","SKBR3"
18,1172,"ACH-000018","T24"
19,646,"ACH-000019","MCF7"
20,674,"ACH-000020","MHHCALL2"
21,155439,"ACH-000021","NCIH1693"
22,929,"ACH-000022","PATU8988S"
23,930,"ACH-000023","PATU8988T"
24,901,"ACH-000024","OPM2"
25,140,"ACH-000025","CH157MN"
26,9,"ACH-000026","253JBV"
27,281,"ACH-000027","GOS3"
28,569,"ACH-000028","KPL1"
29,341,"ACH-000029","HCC827GR5"
30,931,"ACH-000030","PC14"
31,921,"ACH-000031","PANC0213"
32,675,"ACH-000032","MHHCALL3"
33,155452,"ACH-000033","NCIH1819"
34,949,"ACH-000034","PLB985"
35,155434,"ACH-000035","NCIH1650"
36,1227,"ACH-000036","U343"
37,1002,"ACH-000037","S117"
38,239,"ACH-000038","EHEB"
39,1056,"ACH-000039","SKNMC"
40,1218,"ACH-000040","U118MG"
41,963,"ACH-000041","RDES"
42,920,"ACH-000042","PANC0203"
43,434,"ACH-000043","HS895T"
44,647,"ACH-000044","MDAMB134VI"
45,710,"ACH-000045","MV411"
46,43,"ACH-000046","ACHN"
47,270,"ACH-000047","GCIY"
48,1208,"ACH-000048","TOV112D"
49,361,"ACH-000049","HEKTE"
50,128013,"ACH-000050","NCIH929"
51,1195,"ACH-000051","TE617T"
52,37,"ACH-000052","A673"
53,515,"ACH-000053","KARPAS299"
54,446,"ACH-000054","HT1080"
55,193,"ACH-000055","D283MED"
56,222,"ACH-000056","DOHH2"
57,900,"ACH-000057","OPM1"
58,686,"ACH-000058","ML1"
59,1146,"ACH-000059","SUPB15"
60,927,"ACH-000060","PANC1005"
61,369,"ACH-000061","HH"
62,971,"ACH-000062","RERFLCMS"
63,406,"ACH-000063","HS616T"
64,1003,"ACH-000064","SALE"
65,886,"ACH-000065","OCIAML5"
66,331,"ACH-000066","HCC4006"
67,409,"ACH-000067","HS683"
68,964,"ACH-000068","REC1"
69,405,"ACH-000069","HS611T"
70,1,"ACH-000070","697"
71,413,"ACH-000071","HS706T"
72,665,"ACH-000072","MEG01"
73,283,"ACH-000073","GRANTA519"
74,576,"ACH-000074","KU812"
75,1230,"ACH-000075","U87MG"
76,851,"ACH-000076","NCO2"
77,681,"ACH-000077","MJ"
78,678,"ACH-000078","MHHNB11"
79,1187,"ACH-000079","TE125T"
80,58,"ACH-000080","BDCM"
81,272,"ACH-000081","GDM1"
82,262,"ACH-000082","G292CLONEA141B1"
83,394,"ACH-000083","HS281T"
84,708,"ACH-000084","MUTZ3"
85,1174,"ACH-000085","T3M4"
86,41,"ACH-000086","ACCMESO1"
87,1035,"ACH-000087","SKES1"
88,388,"ACH-000088","HS172T"
89,155345,"ACH-000089","NCIH684"
90,932,"ACH-000090","PC3"
